breed_name,min_weight,max_weight,height,group
Affenpinscher,5,14,9,Companion
Afghan Hound,40,77,25,Middle East and African
Airedale Terrier,36,67,22,Terrier
Akita,60,121,24,Asian
Alaskan Klee Kai,12,24,13,Asian
Alaskan Malamute,61,105,23,Asian
American Bulldog,62,118,20,Guard
American English Coonhound,40,65,23,Hound
American Eskimo Dog,16,30,9,Companion
American Foxhound,42,67,21,Hound
American Hairless Terrier,7,17,7,Terrier
American Staffordshire Terrier,38,68,17,Guard
American Water Spaniel,26,51,15,Sporting
Anatolian Shepherd Dog,81,147,27,Middle East and African
Argentine Dogo,77,124,23,Guard
Australian Cattle Dog,31,53,17,Herding
Australian Kelpie,25,45,17,Herding
Australian Koolie,33,49,12,Herding
Australian Shepherd Dog,38,66,18,Herding
Australian Terrier,8,17,9,Terrier
Basenji,16,34,15,Middle East and African
Basset Hound,49,77,11,Hound
Beagle,17,37,13,Hound
Bearded Collie,42,66,20,Herding
Beauceron,57,88,24,Herding
Bedlington Terrier,16,30,15,Terrier
Belgian Malinois,40,83,22,Herding
Belgian Sheepdog,40,83,22,Herding
Belgian Tervuren,40,83,22,Herding
Bergamasco,57,84,21,Herding
Berger Picard,51,71,21,Herding
Bernese Mountain Dog,70,123,23,Mountain dogs
Bichon Frise,6,16,9,Companion
Biewer Terrier,3,11,8,Terrier
Black and Tan Coonhound,48,85,23,Hound
Black and Tan English Toy Terrier,4,12,10,Terrier
Black Russian Terrier,78,124,27,Terrier
Bloodhound,75,121,23,Hound
Bluetick Coonhound,50,78,21,Hound
Bolognese,4,13,10,Companion
Border Collie,31,53,18,Herding
Border Terrier,9,22,11,Terrier
Borzoi,59,111,27,Sighthound
Boston Terrier,15,29,14,Guard
Bouvier des Flandres,60,103,22,Herding
Boxer,49,77,21,Guard
Boykin Spaniel,23,48,14,Sporting
Briard,48,97,22,Herding
Brittany,27,50,18,Sporting
Brussels Griffon,6,14,7,Companion
Bull Terrier,44,82,17,Guard
Bulldog,32,68,25,Guard
Bullmastiff,78,144,24,Guard
Cairn Terrier,11,23,11,Terrier
Canaan Dog,36,64,19,Middle East and African
Cane Corso,80,120,23,Guard
Cardigan Welsh Corgi,23,42,10,Herding
Catahoula Leopard Dog,45,87,20,Hound
Cavalier King Charles Spaniel,11,23,12,Sporting
Cesky Terrier,12,24,10,Terrier
Chesapeake Bay Retriever,48,87,21,Sporting
Chihuahua,2,9,6,Terrier
Chinese Crested,7,16,9,Terrier
Chinese Shar-Pei,40,68,18,Asian
Chinook,59,97,21,Herding
Chow Chow,42,69,18,Asian
Cirneco dell'Etna,17,26,17,Hound
Clumber Spaniel,53,94,16,Sporting
Cocker Spaniel,19,36,14,Sporting
Collie,44,79,20,Herding
Coton de Tulear,11,20,9,Companion
Curly-Coated Retriever,58,90,25,Sporting
Dachshund,17,32,14,Terrier
Dalmatian,39,75,23,Sporting
Dandie Dinmont Terrier,16,30,8,Terrier
Doberman Pinscher,60,117,24,Guard
Dogue De Bordeaux,93,151,23,Guard
English Cocker Spaniel,23,41,15,Sporting
English Foxhound,32,67,21,Hound
English Setter,49,77,23,Sporting
English Springer Spaniel,32,68,19,Sporting
English Toy Spaniel,8,17,9,Sporting
Entlebucher Mountain Dog,35,60,19,Mountain dogs
Field Spaniel,38,64,17,Sporting
Finnish Lapphund,24,55,16,Hound
Finnish Spitz,23,48,15,Companion
Flat-Coated Retriever,51,87,22,Sporting
French Bulldog,19,34,12,Guard
German Pinscher,24,43,16,Terrier
German Shepherd Dog,48,97,22,Herding
German Shorthaired Pointer,42,79,21,Sporting
German Spitz,21,43,9,Companion
German Wirehaired Pointer,42,82,22,Sporting
Giant Schnauzer,59,97,23,Terrier
Glen of Imaal Terrier,26,46,14,Terrier
Golden Retriever,46,80,20,Sporting
Gordon Setter,44,83,25,Sporting
Great Dane,96,153,29,Guard
Great Pyrenees,66,138,25,Herding
Greater Swiss Mountain Dog,59,110,23,Mountain dogs
Greyhound,54,83,27,Sighthound
Harrier,34,67,19,Hound
Havanese,7,16,8,Companion
Ibizan Hound,33,64,22,Sighthound
Icelandic Sheepdog,21,39,16,Companion
Irish Red and White Setter,46,85,22,Sporting
Irish Setter,48,88,25,Sporting
Irish Terrier,19,38,16,Terrier
Irish Water Spaniel,44,70,20,Sporting
Irish Wolfhound,85,156,28,Sighthound
Italian Greyhound,5,14,9,Sighthound
Japanese Chin,6,15,7,Companion
Japanese Spitz,17,32,10,Companion
Korean Jindo,30,61,16,Asian
Keeshond,28,60,17,Companion
Kerry Blue Terrier,25,50,18,Terrier
Komondor,57,100,26,Herding
Kuvasz,61,122,26,Herding
Lagotto Romagnolo,20,40,16,Sporting
Labrador Retriever,49,77,21,Sporting
Lakeland Terrier,12,24,14,Terrier
Lancashire Heeler,8,18,10,Terrier
Large Münsterlander,54,83,23,Sporting
Leonberger,75,110,26,Mountain dogs
Lhasa Apso,9,19,10,Companion
Löwchen,9,20,10,Companion
Maltese,5,13,8,Companion
Manchester Terrier,13,25,15,Terrier
Mastiff,128,200,27,Guard
Mi-ki,3,11,7,Companion
Miniature Bull Terrier,22,40,10,Guard
Miniature Pinscher,4,12,10,Terrier
Miniature Schnauzer,9,19,13,Terrier
Mudi,17,29,14,Herding
Neapolitan Mastiff,90,153,24,Guard
Newfoundland,86,163,26,Mountain dogs
Norfolk Terrier,8,17,10,Terrier
Norwegian Buhund,24,49,16,Companion
Norwegian Elkhound,35,70,18,Companion
Norwegian Lundehund,13,16,12,Hound
Norwich Terrier,8,17,10,Terrier
Nova Scotia Duck Tolling Retriever,32,68,17,Sporting
Old English Sheepdog,57,100,22,Herding
Otterhound,58,118,24,Hound
Papillon,4,12,8,Companion
Parson Russell Terrier,11,23,11,Terrier
Pekingese,6,15,7,Companion
Pembroke Welsh Corgi,18,42,10,Herding
Petit Basset Griffon Vendeen,31,40,13,Hound
Pharaoh Hound,40,68,21,Sighthound
Plott Hound,38,72,20,Hound
Pointer,44,82,24,Sporting
Polish Lowland Sheepdog,31,53,16,Herding
Pomeranian,3,10,7,Companion
Portuguese Podengo Pequeno,9,13,8,Terrier
Portuguese Water Dog,33,66,17,Sporting
